CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
25,CUNDINAMARCA,25580,PULÍ,S,2022,4,1757
15,BOYACA,15822,TOTA,E,2022,4,11
47,MAGDALENA,47245,EL BANCO,E,2022,4,1461
13,BOLIVAR,13894,ZAMBRANO,C,2022,4,1486
05,ANTIOQUIA,05206,CONCEPCIÓN,S,2022,4,2720
54,NORTE DE SANTANDER,54003,ABREGO,S,2022,4,29210
13,BOLIVAR,13600,RÍO VIEJO,C,2022,4,1100
68,SANTANDER,68867,VETAS,C,2022,4,570
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,C,2022,4,1402
52,NARINO,52885,YACUANQUER,C,2022,4,862
20,CESAR,20517,PAILITAS,E,2022,4,418
41,HUILA,41615,RIVERA,E,2022,4,148
52,NARINO,52227,CUMBAL,C,2022,4,1863
15,BOYACA,15516,PAIPA,C,2022,4,19486
15,BOYACA,15455,MIRAFLORES,C,2022,4,2183
05,ANTIOQUIA,05306,GIRALDO,C,2022,4,1132
15,BOYACA,15187,CHIVATÁ,C,2022,4,399
52,NARINO,52256,EL ROSARIO,S,2022,4,7015
68,SANTANDER,68861,VÉLEZ,E,2022,4,555
54,NORTE DE SANTANDER,54599,RAGONVALIA,S,2022,4,6717
15,BOYACA,15380,LA CAPILLA,E,2022,4,17
54,NORTE DE SANTANDER,54480,MUTISCUA,C,2022,4,224
73,TOLIMA,73347,HERVEO,S,2022,4,3850
20,CESAR,20400,LA JAGUA DE IBIRICO,E,2022,4,597
20,CESAR,20570,PUEBLO BELLO,S,2022,4,33275
41,HUILA,41791,TARQUI,E,2022,4,301
05,ANTIOQUIA,05001,MEDELLÍN,E,2022,4,49146
05,ANTIOQUIA,05282,FREDONIA,E,2022,4,553
20,CESAR,20178,CHIRIGUANÁ,S,2022,4,23669
05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,S,2022,4,18486
68,SANTANDER,68013,AGUADA,C,2022,4,177
15,BOYACA,15763,SOTAQUIRÁ,C,2022,4,1514
05,ANTIOQUIA,05031,AMALFI,C,2022,4,4101
